千尋,豚なんかになってないよね？
ハク,今は無理だが、必ず会えるよ。
ハク,静かに。
ハク,そなたを捜しているのだ。
ハク,時間がない。走ろう！
千尋,ああ！立てない！どうしよう？
千尋,力が入んない。
ハク,落ち着いて。深く息を吸ってごらん。
ハク,そなたの内なる風と水の名において…解き放て。
ハク,立って！
千尋,あっ！ああ！
ハク,橋を渡る間、息をしてはいけないよ。
ハク,ちょっとでも吸ったり吐いたりすると、術が解けて、店の者に気づかれてしまう。
千尋,怖い。
ハク,心を静めて。
蛙男,いらっしゃいませ。
蛙男,お早いお着きで。
蛙男,いらっしゃいませ。いらっしゃいませ。
ハク,所用からの戻りだ。
蛙男,へい！お戻りくださいませ。
ハク,深く吸って…
ハク,… 止めて。
湯女,いらっしゃーい！お待ちしてましたよ！
ハク,しっかり。もう少し…。
青蛙,ハク様ー！
青蛙,どこへ行っておった？
千尋,わっ！
青蛙,ゲっ？人か？
ハク,走れ！
湯女たち,あーれー！
湯女たち,イヤーン！
青蛙,ん？
兄役,ハク様！ハク様！
兄役,ええい？におわぬか？人が入り込んだぞ！
兄役,人くさいぞ！人くさいぞ！
ハク,感づかれたな。
千尋,ごめん。私、息しちゃった。
ハク,いや、千尋はよく頑張った。
ハク,これからどうするか話すからよくお聞き。
ハク,ここにいては必ず見つかる。
ハク,私が行ってごまかすから、そのすきに千尋はここを抜け出して…。
千尋,イヤ！行かないで！
千尋,ここにいて！お願い！
ハク,この世界で生き延びるためにはそうするしかないんだ。
ハク,ご両親を助けるためにも。
千尋,やっぱり豚になったの夢じゃないんだ。
ハク,ジッとして。
ハク,騒ぎが静まったら、裏のくぐり戸から出られる。
ハク,外の階段を一番下まで下りるんだ。
ハク,そこにボイラー室の入り口がある。火をたく所だ。
ハク,中にカマジイという人がいるから、カマジイに会うんだ。
千尋,カマジイ？
ハク,その人にここで働きたいって頼むんだ。
ハク,断られても、ねばるんだよ。
ハク,ここでは仕事を持たない者は、湯バーバに動物にされてしまう。
千尋,湯バーバって？
ハク,会えばすぐに分かる。
ハク,ここを支配してる魔女だ。
ハク,イヤだとか帰りたいとか言わせるように仕向けて来るけど、働きたいってだけ言うんだ。
ハク,つらくても、耐えて機会を待つんだよ。
ハク,そうすれば、湯バーバも手が出せない。
千尋,うん…。
湯女たち,ハク様ー！ハク様ー！
ハク,行かなければ…。
ハク,忘れないで。私は千尋の味方だからね。
千尋,どうして私の名を知ってるの？
ハク,そなたの小さい時から知っている。
ハク,私の名はハクだ。
ハク,ハクはここにいるぞ！
蛙男,ハク様、湯バーバ様が。
ハク,分かっている。そのことで外へ出ていた。
千尋,イヤ！
千尋,キャっ！イヤ！イヤー！！
千尋,イヤーーっ！
千尋,あ…あのう…。
千尋,すいません…。
千尋,あ…あのう…。
千尋,あのう、カマジイさんですか？
釜爺,ん？
釜爺,ん？んー？
千尋,あの、ハクという人に言われて来ました。
千尋,ここで働かせてください。
釜爺,んー…。
釜爺,えーい…こんなに一度に…。
釜爺,チビども、仕事だ！
釜爺,わしゃあ、カマジイだ。風呂釜にこき使われとるジジイだ。
釜爺,チビども、早くせんか！
千尋,あの、ここで働かせてください！
釜爺,へえ…手は足りとる。そこら中ススだらけだからな。
釜爺,いくらでも代わりはおるわい。
千尋,あっ、ごめんなさい。
千尋,あっ、ちょっと待って。
釜爺,邪魔、邪魔。
千尋,あっ！
千尋,ど…どうするの？これ。
千尋,ここに置いといていいの？
釜爺,手ぇ出すならしまいまでやれ！
千尋,えっ？
千尋,よしっ…。
釜爺,こらー！チビども！
釜爺,ただのススに戻りてぇのか？！
釜爺,あんたも気まぐれに手ぇ出して、ひとの仕事を取っちゃならねえ。
釜爺,働かなきゃな、こいつらの魔法は消えちまうんだ！
釜爺,ここにあんたの仕事はねえ！他を当たってくれ。
釜爺,何だ？お前達！文句があるのか？！
釜爺,仕事しろ！仕事！
リン,飯だよ！
リン,何だ？またケンカしてんの？
リン,よしなさいよ、もう。
リン,器は？
リン,ちゃんと出しといてって言ってるのに。
釜爺,飯だ！休憩！
リン,うわっ？！
千尋,あっ！
リン,人間がいるじゃん！やばいよ！
リン,さっき上で大騒ぎしてたんだよ！
釜爺,わしの孫だ。
リン,孫？！
釜爺,働きたいと言うんだが、ここは手が足りとる。
釜爺,おめぇ、湯バーバのとこへ連れてってくれねえか？
釜爺,あとは自分でやるだろう。
リン,やなこった！あたいが殺されちまうよ。
釜爺,これでどうだ？
釜爺,イモリのクロヤキ。上物だぞ。
釜爺,どのみち働くには湯バーバと契約せにゃならん。
釜爺,自分で行って、運を試しな。
リン,チェっ！そこの子、ついて来な。
千尋,あっ…わっ！
リン,あんたね、「はい」とか「お世話になります」とか言えないの？
千尋,あっ、はい。
リン,ドンくさいね。早くおいで。
千尋,はい。
リン,靴なんか持ってどうするのさ？！靴下も！
千尋,はい！
リン,あんた、カマジイにお礼言ったの？世話になったんだろ？
千尋,うっ…。
千尋,ありがとうございました。
釜爺,グッドラック。
リン,湯バーバは建物のテッペンのその奥にいるんだ。
千尋,わっ！
リン,早くしろよ。
千尋,あっ…。
リン,鼻がなくなるよ。
リン,もう一回乗り継ぐからね。
千尋,はい。
リン,着くよ。
リン,いらっしゃいませ。
お白様,ウウー…。
リン,お客様、このエレベーターは上へはまいりません。
リン,他をお探しください。
千尋,ついて来る。
リン,キョロキョロすんじゃないよ。
蛙男,到着でございます。
蛙男,右手のお座敷でございます。
蛙男,ん？リン。
リン,はーい。
蛙男,何かにおわぬか？
蛙男,人間だ。お前、人間くさいぞ。
リン,そうですかぁ？
蛙男,におう、におう。うまそうなにおいだ。
蛙男,お前何か隠しておるな。
蛙男,正直に申せ！
リン,このにおいでしょ？
蛙男,クロヤキ…くれー！
リン,やなこった。おねえ様方に頼まれてんだよ。
蛙男,頼む！ちょっとだけ！せめて足１本！
リン,上へ行くお客様？レバーをお引きください。
湯婆婆,ノックもしないのかい？！
湯婆婆,まぁ、みっともない娘が来たもんだね。
湯婆婆,さあ、おいで。
湯婆婆,おいでな。
千尋,あっ！
千尋,痛い…。
湯婆婆,うるさいねぇ。静かにしておくれ。
千尋,うわっ！
千尋,あのう…ここで働かせてください。
湯婆婆,バカなおしゃべりはやめとくれ。
湯婆婆,そんなヒョロヒョロに何ができるのさ。
湯婆婆,ここはね、人間の来る所じゃないんだ。
湯婆婆,八百万の神様達が疲れを癒やしに来るお湯屋なんだよ。
湯婆婆,それなのに、お前の親は何だい？
湯婆婆,お客様の食べ物を豚のように食いちらして！
湯婆婆,当然の報いさ。
湯婆婆,お前も元の世界には…戻れないよ。
湯婆婆,子豚にしてやろう。
湯婆婆,あっ！石炭というてもあるね。
湯婆婆,ハハハハハ！震えているね。
湯婆婆,でも、まぁ、よくここまでやって来たよ。
湯婆婆,誰かが親切に世話を焼いたんだね。
湯婆婆,褒めてやらなきゃ。
湯婆婆,誰だい？それは、教えておくれな。
千尋,あっ…。
千尋,ここで働かせてください！
湯婆婆,まだそれを言うのかい？！
千尋,ここで働きたいんです！
湯婆婆,だーまーれー！！
湯婆婆,何で私がお前を雇わなきゃならないんだい？！
湯婆婆,見るからに、グズで、甘ったれで、泣き虫で、頭の悪い小娘に、仕事なんかあるもんかね！
湯婆婆,お断りだね！
